Dates,Tickers,Data
20250401,FX.EURUSD.VOL::1M::ATM::MID,0.0797
20250501,FX.EURUSD.VOL::1M::ATM::MID,0.0897
20250402,FX.EURUSD.VOL::1M::ATM::MID,0.0848
20250602,FX.EURUSD.VOL::1M::ATM::MID,0.0856
20250502,FX.EURUSD.VOL::1M::ATM::MID,0.0916
20250403,FX.EURUSD.VOL::1M::ATM::MID,0.093
20250303,FX.EURUSD.VOL::1M::ATM::MID,0.0772
20250404,FX.EURUSD.VOL::1M::ATM::MID,0.0988
20250304,FX.EURUSD.VOL::1M::ATM::MID,0.0823
20250305,FX.EURUSD.VOL::1M::ATM::MID,0.0903
20250505,FX.EURUSD.VOL::1M::ATM::MID,0.0964
20250306,FX.EURUSD.VOL::1M::ATM::MID,0.0852
20250506,FX.EURUSD.VOL::1M::ATM::MID,0.096
20250407,FX.EURUSD.VOL::1M::ATM::MID,0.1016
20250307,FX.EURUSD.VOL::1M::ATM::MID,0.0853
20250507,FX.EURUSD.VOL::1M::ATM::MID,0.0931
20250408,FX.EURUSD.VOL::1M::ATM::MID,0.0947
20250508,FX.EURUSD.VOL::1M::ATM::MID,0.0851
20250409,FX.EURUSD.VOL::1M::ATM::MID,0.0933
20250509,FX.EURUSD.VOL::1M::ATM::MID,0.0844
20250410,FX.EURUSD.VOL::1M::ATM::MID,0.1068
20250310,FX.EURUSD.VOL::1M::ATM::MID,0.0868
20250411,FX.EURUSD.VOL::1M::ATM::MID,0.1258
20250311,FX.EURUSD.VOL::1M::ATM::MID,0.0883
20250312,FX.EURUSD.VOL::1M::ATM::MID,0.0813
20250512,FX.EURUSD.VOL::1M::ATM::MID,0.073
20250313,FX.EURUSD.VOL::1M::ATM::MID,0.0794
20250513,FX.EURUSD.VOL::1M::ATM::MID,0.0745
20250414,FX.EURUSD.VOL::1M::ATM::MID,0.107
20250314,FX.EURUSD.VOL::1M::ATM::MID,0.0786
20250514,FX.EURUSD.VOL::1M::ATM::MID,0.0769
20250415,FX.EURUSD.VOL::1M::ATM::MID,0.0961
20250515,FX.EURUSD.VOL::1M::ATM::MID,0.076
20250416,FX.EURUSD.VOL::1M::ATM::MID,0.0993
20250516,FX.EURUSD.VOL::1M::ATM::MID,0.0749
20250417,FX.EURUSD.VOL::1M::ATM::MID,0.0913
20250317,FX.EURUSD.VOL::1M::ATM::MID,0.0769
20250418,FX.EURUSD.VOL::1M::ATM::MID,0.0919
20250318,FX.EURUSD.VOL::1M::ATM::MID,0.0796
20250319,FX.EURUSD.VOL::1M::ATM::MID,0.0791
20250519,FX.EURUSD.VOL::1M::ATM::MID,0.0818
20250320,FX.EURUSD.VOL::1M::ATM::MID,0.0781
20250520,FX.EURUSD.VOL::1M::ATM::MID,0.0804
20250421,FX.EURUSD.VOL::1M::ATM::MID,0.1143
20250321,FX.EURUSD.VOL::1M::ATM::MID,0.0769
20250521,FX.EURUSD.VOL::1M::ATM::MID,0.0864
20250422,FX.EURUSD.VOL::1M::ATM::MID,0.1051
20250522,FX.EURUSD.VOL::1M::ATM::MID,0.081
20250423,FX.EURUSD.VOL::1M::ATM::MID,0.1006
20250523,FX.EURUSD.VOL::1M::ATM::MID,0.0867
20250424,FX.EURUSD.VOL::1M::ATM::MID,0.0945
20250224,FX.EURUSD.VOL::1M::ATM::MID,0.0696
20250324,FX.EURUSD.VOL::1M::ATM::MID,0.0767
20250425,FX.EURUSD.VOL::1M::ATM::MID,0.0925
20250225,FX.EURUSD.VOL::1M::ATM::MID,0.0709
20250325,FX.EURUSD.VOL::1M::ATM::MID,0.0725
20250226,FX.EURUSD.VOL::1M::ATM::MID,0.0707
20250326,FX.EURUSD.VOL::1M::ATM::MID,0.0727
20250526,FX.EURUSD.VOL::1M::ATM::MID,0.087
20250227,FX.EURUSD.VOL::1M::ATM::MID,0.0739
20250327,FX.EURUSD.VOL::1M::ATM::MID,0.0726
20250527,FX.EURUSD.VOL::1M::ATM::MID,0.0815
20250428,FX.EURUSD.VOL::1M::ATM::MID,0.0959
20250228,FX.EURUSD.VOL::1M::ATM::MID,0.0761
20250328,FX.EURUSD.VOL::1M::ATM::MID,0.0764
20250528,FX.EURUSD.VOL::1M::ATM::MID,0.0817
20250429,FX.EURUSD.VOL::1M::ATM::MID,0.0959
20250529,FX.EURUSD.VOL::1M::ATM::MID,0.0826
20250430,FX.EURUSD.VOL::1M::ATM::MID,0.0925
20250530,FX.EURUSD.VOL::1M::ATM::MID,0.0807
20250331,FX.EURUSD.VOL::1M::ATM::MID,0.0799
20250401,FX.EURUSD.VOL::3Y::ATM::MID,0.0786
20250501,FX.EURUSD.VOL::3Y::ATM::MID,0.0867
20250402,FX.EURUSD.VOL::3Y::ATM::MID,0.0791
20250602,FX.EURUSD.VOL::3Y::ATM::MID,0.0816
20250502,FX.EURUSD.VOL::3Y::ATM::MID,0.087
20250403,FX.EURUSD.VOL::3Y::ATM::MID,0.0831
20250303,FX.EURUSD.VOL::3Y::ATM::MID,0.0768
20250404,FX.EURUSD.VOL::3Y::ATM::MID,0.0853
20250304,FX.EURUSD.VOL::3Y::ATM::MID,0.0794
20250305,FX.EURUSD.VOL::3Y::ATM::MID,0.0804
20250505,FX.EURUSD.VOL::3Y::ATM::MID,0.0877
20250306,FX.EURUSD.VOL::3Y::ATM::MID,0.0791
20250506,FX.EURUSD.VOL::3Y::ATM::MID,0.088
20250407,FX.EURUSD.VOL::3Y::ATM::MID,0.086
20250307,FX.EURUSD.VOL::3Y::ATM::MID,0.0799
20250507,FX.EURUSD.VOL::3Y::ATM::MID,0.0875
20250408,FX.EURUSD.VOL::3Y::ATM::MID,0.0838
20250508,FX.EURUSD.VOL::3Y::ATM::MID,0.086
20250409,FX.EURUSD.VOL::3Y::ATM::MID,0.0838
20250509,FX.EURUSD.VOL::3Y::ATM::MID,0.084
20250410,FX.EURUSD.VOL::3Y::ATM::MID,0.0868
20250310,FX.EURUSD.VOL::3Y::ATM::MID,0.08
20250411,FX.EURUSD.VOL::3Y::ATM::MID,0.09
20250311,FX.EURUSD.VOL::3Y::ATM::MID,0.0803
20250312,FX.EURUSD.VOL::3Y::ATM::MID,0.079
20250512,FX.EURUSD.VOL::3Y::ATM::MID,0.078
20250313,FX.EURUSD.VOL::3Y::ATM::MID,0.0785
20250513,FX.EURUSD.VOL::3Y::ATM::MID,0.0769
20250414,FX.EURUSD.VOL::3Y::ATM::MID,0.0879
20250314,FX.EURUSD.VOL::3Y::ATM::MID,0.0784
20250514,FX.EURUSD.VOL::3Y::ATM::MID,0.0792
20250415,FX.EURUSD.VOL::3Y::ATM::MID,0.0859
20250515,FX.EURUSD.VOL::3Y::ATM::MID,0.0792
20250416,FX.EURUSD.VOL::3Y::ATM::MID,0.0882
20250516,FX.EURUSD.VOL::3Y::ATM::MID,0.0787
20250417,FX.EURUSD.VOL::3Y::ATM::MID,0.0865
20250317,FX.EURUSD.VOL::3Y::ATM::MID,0.0771
20250418,FX.EURUSD.VOL::3Y::ATM::MID,0.0867
20250318,FX.EURUSD.VOL::3Y::ATM::MID,0.0781
20250319,FX.EURUSD.VOL::3Y::ATM::MID,0.0781
20250519,FX.EURUSD.VOL::3Y::ATM::MID,0.0793
20250320,FX.EURUSD.VOL::3Y::ATM::MID,0.0778
20250520,FX.EURUSD.VOL::3Y::ATM::MID,0.0793
20250421,FX.EURUSD.VOL::3Y::ATM::MID,0.0909
20250321,FX.EURUSD.VOL::3Y::ATM::MID,0.0779
20250521,FX.EURUSD.VOL::3Y::ATM::MID,0.0817
20250422,FX.EURUSD.VOL::3Y::ATM::MID,0.0889
20250522,FX.EURUSD.VOL::3Y::ATM::MID,0.0812
20250423,FX.EURUSD.VOL::3Y::ATM::MID,0.0856
20250523,FX.EURUSD.VOL::3Y::ATM::MID,0.0826
20250424,FX.EURUSD.VOL::3Y::ATM::MID,0.0861
20250224,FX.EURUSD.VOL::3Y::ATM::MID,0.0763
20250324,FX.EURUSD.VOL::3Y::ATM::MID,0.0773
20250425,FX.EURUSD.VOL::3Y::ATM::MID,0.0858
20250225,FX.EURUSD.VOL::3Y::ATM::MID,0.0764
20250325,FX.EURUSD.VOL::3Y::ATM::MID,0.076
20250226,FX.EURUSD.VOL::3Y::ATM::MID,0.0766
20250326,FX.EURUSD.VOL::3Y::ATM::MID,0.0753
20250526,FX.EURUSD.VOL::3Y::ATM::MID,0.0828
20250227,FX.EURUSD.VOL::3Y::ATM::MID,0.0784
20250327,FX.EURUSD.VOL::3Y::ATM::MID,0.0766
20250527,FX.EURUSD.VOL::3Y::ATM::MID,0.0806
20250428,FX.EURUSD.VOL::3Y::ATM::MID,0.0867
20250228,FX.EURUSD.VOL::3Y::ATM::MID,0.0786
20250328,FX.EURUSD.VOL::3Y::ATM::MID,0.0786
20250528,FX.EURUSD.VOL::3Y::ATM::MID,0.08
20250429,FX.EURUSD.VOL::3Y::ATM::MID,0.0882
20250529,FX.EURUSD.VOL::3Y::ATM::MID,0.0808
20250430,FX.EURUSD.VOL::3Y::ATM::MID,0.0877
20250530,FX.EURUSD.VOL::3Y::ATM::MID,0.0809
20250331,FX.EURUSD.VOL::3Y::ATM::MID,0.0794
20250401,FX.EURUSD.VOL::7Y::ATM::MID,0.083
20250501,FX.EURUSD.VOL::7Y::ATM::MID,0.0916
20250402,FX.EURUSD.VOL::7Y::ATM::MID,0.0829
20250602,FX.EURUSD.VOL::7Y::ATM::MID,0.0871
20250502,FX.EURUSD.VOL::7Y::ATM::MID,0.092
20250403,FX.EURUSD.VOL::7Y::ATM::MID,0.0879
20250303,FX.EURUSD.VOL::7Y::ATM::MID,0.0816
20250404,FX.EURUSD.VOL::7Y::ATM::MID,0.0895
20250304,FX.EURUSD.VOL::7Y::ATM::MID,0.0836
20250305,FX.EURUSD.VOL::7Y::ATM::MID,0.0848
20250505,FX.EURUSD.VOL::7Y::ATM::MID,0.0926
20250306,FX.EURUSD.VOL::7Y::ATM::MID,0.0838
20250506,FX.EURUSD.VOL::7Y::ATM::MID,0.0929
20250407,FX.EURUSD.VOL::7Y::ATM::MID,0.0907
20250307,FX.EURUSD.VOL::7Y::ATM::MID,0.0841
20250507,FX.EURUSD.VOL::7Y::ATM::MID,0.0921
20250408,FX.EURUSD.VOL::7Y::ATM::MID,0.0877
20250508,FX.EURUSD.VOL::7Y::ATM::MID,0.0905
20250409,FX.EURUSD.VOL::7Y::ATM::MID,0.0887
20250509,FX.EURUSD.VOL::7Y::ATM::MID,0.0887
20250410,FX.EURUSD.VOL::7Y::ATM::MID,0.0927
20250310,FX.EURUSD.VOL::7Y::ATM::MID,0.0843
20250411,FX.EURUSD.VOL::7Y::ATM::MID,0.0959
20250311,FX.EURUSD.VOL::7Y::ATM::MID,0.0846
20250312,FX.EURUSD.VOL::7Y::ATM::MID,0.0836
20250512,FX.EURUSD.VOL::7Y::ATM::MID,0.0816
20250313,FX.EURUSD.VOL::7Y::ATM::MID,0.083
20250513,FX.EURUSD.VOL::7Y::ATM::MID,0.0821
20250414,FX.EURUSD.VOL::7Y::ATM::MID,0.0927
20250314,FX.EURUSD.VOL::7Y::ATM::MID,0.083
20250514,FX.EURUSD.VOL::7Y::ATM::MID,0.0832
20250415,FX.EURUSD.VOL::7Y::ATM::MID,0.0906
20250515,FX.EURUSD.VOL::7Y::ATM::MID,0.0836
20250416,FX.EURUSD.VOL::7Y::ATM::MID,0.093
20250516,FX.EURUSD.VOL::7Y::ATM::MID,0.0829
20250417,FX.EURUSD.VOL::7Y::ATM::MID,0.0914
20250317,FX.EURUSD.VOL::7Y::ATM::MID,0.0816
20250418,FX.EURUSD.VOL::7Y::ATM::MID,0.0915
20250318,FX.EURUSD.VOL::7Y::ATM::MID,0.0825
20250319,FX.EURUSD.VOL::7Y::ATM::MID,0.0825
20250519,FX.EURUSD.VOL::7Y::ATM::MID,0.0836
20250320,FX.EURUSD.VOL::7Y::ATM::MID,0.0821
20250520,FX.EURUSD.VOL::7Y::ATM::MID,0.0848
20250421,FX.EURUSD.VOL::7Y::ATM::MID,0.0958
20250321,FX.EURUSD.VOL::7Y::ATM::MID,0.0821
20250521,FX.EURUSD.VOL::7Y::ATM::MID,0.0872
20250422,FX.EURUSD.VOL::7Y::ATM::MID,0.0937
20250522,FX.EURUSD.VOL::7Y::ATM::MID,0.0868
20250423,FX.EURUSD.VOL::7Y::ATM::MID,0.0903
