Dates,Tickers,Tenor,Data
20250401,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.02018
20250501,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.017314
20250402,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0201945
20250602,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0175545
20250502,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.017629
20250403,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0197655
20250303,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.02125
20250404,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018955
20250304,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.02077
20250305,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.02186
20250505,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.01764
20250306,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.02184
20250506,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.017532
20250407,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0190235
20250307,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0216681
20250507,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.017434
20250408,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.019097
20250508,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.017502
20250409,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018278
20250509,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.017678
20250410,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018899
20250310,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.021492
20250411,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0185925
20250311,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.021388
20250312,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.021611
20250512,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018446
20250313,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.021315
20250513,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018442
20250414,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0186095
20250314,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0213165
20250514,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018433
20250415,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0185
20250515,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0181705
20250416,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018304
20250516,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018065
20250417,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.017591
20250317,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.021265
20250418,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0177255
20250318,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.021259
20250319,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.021247
20250519,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.018021
20250320,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0210643
20250520,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0180435
20250421,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.01769
20250321,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0210032
20250521,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.0180931
20250422,IR.EUR-ESTR-ON.SWAP-10M.MID,10M,0.01743
