Dates,Tickers,Expiry,Tenor,Data
20250401,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007976
20250501,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007753
20250402,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007967
20250602,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007515
20250502,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007769
20250403,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008042
20250303,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007588
20250404,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008156
20250304,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007696
20250305,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007922
20250505,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007763
20250306,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008033
20250506,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007717
20250407,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008241
20250307,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008044
20250507,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007705
20250408,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008033
20250508,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007634
20250409,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008178
20250509,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.00767
20250410,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008046
20250310,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008054
20250411,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008116
20250311,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008226
20250312,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008304
20250512,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007711
20250313,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008232
20250513,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.00772
20250414,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007972
20250314,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008175
20250514,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007727
20250415,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007917
20250515,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007725
20250416,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007919
20250516,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007705
20250417,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007839
