Dates,Tickers,Data
20250401,FX.XAGUSD-SPOT.MID,33.5718
20250501,FX.XAGUSD-SPOT.MID,32.336
20250402,FX.XAGUSD-SPOT.MID,33.7288
20250602,FX.XAGUSD-SPOT.MID,34.63175
20250502,FX.XAGUSD-SPOT.MID,31.9851
20250403,FX.XAGUSD-SPOT.MID,31.9255
20250303,FX.XAGUSD-SPOT.MID,31.535
20250404,FX.XAGUSD-SPOT.MID,29.465
20250304,FX.XAGUSD-SPOT.MID,31.9378
20250305,FX.XAGUSD-SPOT.MID,32.68
20250505,FX.XAGUSD-SPOT.MID,32.3438
20250306,FX.XAGUSD-SPOT.MID,32.65
20250506,FX.XAGUSD-SPOT.MID,33.18005
20250407,FX.XAGUSD-SPOT.MID,29.7369
20250307,FX.XAGUSD-SPOT.MID,32.392
20250507,FX.XAGUSD-SPOT.MID,32.56675
20250408,FX.XAGUSD-SPOT.MID,29.8049
20250508,FX.XAGUSD-SPOT.MID,32.4842
20250409,FX.XAGUSD-SPOT.MID,30.7121
20250509,FX.XAGUSD-SPOT.MID,32.8009
20250410,FX.XAGUSD-SPOT.MID,31.165
20250310,FX.XAGUSD-SPOT.MID,32.0113
20250411,FX.XAGUSD-SPOT.MID,32.2408
20250311,FX.XAGUSD-SPOT.MID,32.9125
20250312,FX.XAGUSD-SPOT.MID,33.283
20250512,FX.XAGUSD-SPOT.MID,32.50325
20250313,FX.XAGUSD-SPOT.MID,33.8154
20250513,FX.XAGUSD-SPOT.MID,32.88235
20250414,FX.XAGUSD-SPOT.MID,32.315
20250314,FX.XAGUSD-SPOT.MID,33.7292
20250514,FX.XAGUSD-SPOT.MID,32.13465
20250415,FX.XAGUSD-SPOT.MID,32.36
20250515,FX.XAGUSD-SPOT.MID,32.46145
20250416,FX.XAGUSD-SPOT.MID,32.8756
20250516,FX.XAGUSD-SPOT.MID,32.245
20250417,FX.XAGUSD-SPOT.MID,32.45445
20250317,FX.XAGUSD-SPOT.MID,33.855
20250418,FX.XAGUSD-SPOT.MID,32.615
20250318,FX.XAGUSD-SPOT.MID,34.06
20250319,FX.XAGUSD-SPOT.MID,33.7994
20250519,FX.XAGUSD-SPOT.MID,32.3781
20250320,FX.XAGUSD-SPOT.MID,33.46085
20250520,FX.XAGUSD-SPOT.MID,33.0148
20250421,FX.XAGUSD-SPOT.MID,32.695
20250321,FX.XAGUSD-SPOT.MID,32.935
20250521,FX.XAGUSD-SPOT.MID,33.4091
20250422,FX.XAGUSD-SPOT.MID,32.75295
20250522,FX.XAGUSD-SPOT.MID,33.106
20250423,FX.XAGUSD-SPOT.MID,33.646
20250523,FX.XAGUSD-SPOT.MID,33.5023
20250424,FX.XAGUSD-SPOT.MID,33.5056
20250224,FX.XAGUSD-SPOT.MID,32.3437
20250324,FX.XAGUSD-SPOT.MID,32.9882
20250425,FX.XAGUSD-SPOT.MID,32.9463
20250225,FX.XAGUSD-SPOT.MID,31.6325
20250325,FX.XAGUSD-SPOT.MID,33.685
20250226,FX.XAGUSD-SPOT.MID,31.785
20250326,FX.XAGUSD-SPOT.MID,33.605
20250526,FX.XAGUSD-SPOT.MID,33.425
20250227,FX.XAGUSD-SPOT.MID,31.3027
20250327,FX.XAGUSD-SPOT.MID,34.395
20250527,FX.XAGUSD-SPOT.MID,33.233
20250428,FX.XAGUSD-SPOT.MID,33.13845
20250228,FX.XAGUSD-SPOT.MID,31.095
20250328,FX.XAGUSD-SPOT.MID,34.00905
20250528,FX.XAGUSD-SPOT.MID,33.0268
20250429,FX.XAGUSD-SPOT.MID,33.0281
20250529,FX.XAGUSD-SPOT.MID,33.3216
20250430,FX.XAGUSD-SPOT.MID,32.6212
20250530,FX.XAGUSD-SPOT.MID,32.9787
