Dates,Tickers,Expiry,Tenor,Data
20250401,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004519
20250501,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004547
20250402,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004516
20250602,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004959
20250502,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004523
20250403,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004427
20250303,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004343
20250404,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.00432
20250304,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004392
20250305,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004397
20250505,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.00452
20250306,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004458
20250506,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004521
20250407,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004273
20250307,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.00447
20250507,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004516
20250408,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004345
20250508,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004557
20250409,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004493
20250509,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.00469
20250410,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004688
20250310,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004496
20250411,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004778
20250311,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004508
20250312,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004531
20250512,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004767
20250313,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004513
20250513,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004717
20250414,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004838
20250314,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004497
20250514,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004707
20250415,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004679
20250515,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004838
20250416,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004458
20250516,IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM::20Y::2Y::NORMAL.MID,20Y,2Y,0.004845
