Dates,Tickers,Tenor,DeltaStrike,Type,Data
20250401,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1027
20250501,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1112
20250402,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1021
20250602,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1101
20250502,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1132
20250403,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.108
20250303,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1016
20250404,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1106
20250304,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1038
20250305,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1046
20250505,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1162
20250306,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1068
20250506,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1165
20250407,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1122
20250307,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1074
20250507,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1154
20250408,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1135
20250508,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1111
20250409,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1134
20250509,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1103
20250410,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.12
20250310,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1077
20250411,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1205
20250311,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.107
20250312,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1035
20250512,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1032
20250313,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1028
20250513,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1002
20250414,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1157
