Dates,Tickers,Tenor,Data
20250401,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0247
20250501,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.022
20250402,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0247
20250602,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.02275
20250502,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.02255
20250403,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0252
20250303,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0272
20250404,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0251
20250304,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0273
20250305,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0276
20250505,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0223
20250306,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0276
20250506,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0222
20250407,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.02495
20250307,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0255
20250507,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0222
20250408,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0247
20250508,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0222
20250409,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.025
20250509,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.02275
20250410,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0247
20250310,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0269
20250411,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.02475
20250311,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0255
20250312,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0255
20250512,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0224
20250313,IR.EUR-EURIBOR-6M.CASH-1W.MID,1W,0.0256
