Dates,Tickers,Tenor,Data
20230102,EUR006M Index,6M,2.732
20230102,EUSA1 BGN Curncy,1Y,3.2645
20230102,EUSA10 BGN Curncy,10Y,3.066
20230102,EUSA11 BGN Curncy,11Y,3.0654
20230102,EUSA12 BGN Curncy,12Y,3.0604
20230102,EUSA15 BGN Curncy,15Y,3.0069
20230102,EUSA1D BGN Curncy,1D,NaN
20230102,EUSA1F BGN Curncy,18M,3.349
20230102,EUSA2 BGN Curncy,2Y,3.34
20230102,EUSA20 BGN Curncy,20Y,2.795
20230102,EUSA25 BGN Curncy,25Y,2.576
20230102,EUSA3 BGN Curncy,3Y,3.227
20230102,EUSA30 BGN Curncy,30Y,2.394
20230102,EUSA35 BGN Curncy,35Y,2.2485
20230102,EUSA4 BGN Curncy,4Y,3.1569
20230102,EUSA40 BGN Curncy,40Y,2.122
20230102,EUSA45 BGN Curncy,45Y,2.01
20230102,EUSA5 BGN Curncy,5Y,3.118
20230102,EUSA50 BGN Curncy,50Y,1.92
20230102,EUSA6 BGN Curncy,6Y,3.092
20230102,EUSA7 BGN Curncy,7Y,3.0729
20230102,EUSA8 BGN Curncy,8Y,3.0633
20230102,EUSA9 BGN Curncy,9Y,3.066
20230103,EUR006M Index,6M,2.739
20230103,EUSA1 BGN Curncy,1Y,3.2457
20230103,EUSA10 BGN Curncy,10Y,2.988
20230103,EUSA11 BGN Curncy,11Y,2.9903
20230103,EUSA12 BGN Curncy,12Y,2.988
20230103,EUSA15 BGN Curncy,15Y,2.9393
20230103,EUSA1D BGN Curncy,1D,NaN
20230103,EUSA1F BGN Curncy,18M,3.32
20230103,EUSA2 BGN Curncy,2Y,3.2977
20230103,EUSA20 BGN Curncy,20Y,2.7305
20230103,EUSA25 BGN Curncy,25Y,2.5052
20230103,EUSA3 BGN Curncy,3Y,3.1708
20230103,EUSA30 BGN Curncy,30Y,2.327
20230103,EUSA35 BGN Curncy,35Y,2.181
20230103,EUSA4 BGN Curncy,4Y,3.0903
20230103,EUSA40 BGN Curncy,40Y,2.054
20230103,EUSA45 BGN Curncy,45Y,1.9451
20230103,EUSA5 BGN Curncy,5Y,3.045
20230103,EUSA50 BGN Curncy,50Y,1.851
20230103,EUSA6 BGN Curncy,6Y,3.0121
20230103,EUSA7 BGN Curncy,7Y,2.9878
20230103,EUSA8 BGN Curncy,8Y,2.985
20230103,EUSA9 BGN Curncy,9Y,2.985
20230104,EUR006M Index,6M,2.761
20230104,EUSA1 BGN Curncy,1Y,3.2185
20230104,EUSA10 BGN Curncy,10Y,2.888
20230104,EUSA11 BGN Curncy,11Y,2.897
20230104,EUSA12 BGN Curncy,12Y,2.901
20230104,EUSA15 BGN Curncy,15Y,2.869
20230104,EUSA1D BGN Curncy,1D,NaN
20230104,EUSA1F BGN Curncy,18M,3.267
20230104,EUSA2 BGN Curncy,2Y,3.226
20230104,EUSA20 BGN Curncy,20Y,2.683
20230104,EUSA25 BGN Curncy,25Y,2.469
20230104,EUSA3 BGN Curncy,3Y,3.08
20230104,EUSA30 BGN Curncy,30Y,2.291
20230104,EUSA35 BGN Curncy,35Y,2.1434
20230104,EUSA4 BGN Curncy,4Y,2.9825
20230104,EUSA40 BGN Curncy,40Y,2.0224
20230104,EUSA45 BGN Curncy,45Y,1.91
20230104,EUSA5 BGN Curncy,5Y,2.926
20230104,EUSA50 BGN Curncy,50Y,1.814
20230104,EUSA6 BGN Curncy,6Y,2.8943
20230104,EUSA7 BGN Curncy,7Y,2.8739
20230104,EUSA8 BGN Curncy,8Y,2.873
20230104,EUSA9 BGN Curncy,9Y,2.8789
20230105,EUR006M Index,6M,2.772
