Date,CailKey,Expiry,Tenor,Data
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::10Y::NORMAL.MID,10Y,10Y,79.13
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::2Y::NORMAL.MID,10Y,2Y,90.83000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::5Y::NORMAL.MID,10Y,5Y,84.99
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::15Y::NORMAL.MID,10Y,15Y,73.7
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::7Y::NORMAL.MID,10Y,7Y,82.45
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::8Y::NORMAL.MID,10Y,8Y,81.52
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::9Y::NORMAL.MID,10Y,9Y,80.38999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::6Y::NORMAL.MID,10Y,6Y,83.73
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::30Y::NORMAL.MID,10Y,30Y,67.0
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::20Y::NORMAL.MID,10Y,20Y,70.61999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,100.50999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,100.00999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,80.82000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6M::15Y::NORMAL.MID,6M,15Y,100.47999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::30Y::NORMAL.MID,6Y,30Y,77.42
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::5Y::NORMAL.MID,6Y,5Y,94.53
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::7Y::7Y::NORMAL.MID,7Y,7Y,89.26
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::7Y::9Y::NORMAL.MID,7Y,9Y,87.58
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::1Y::NORMAL.MID,10Y,1Y,90.96
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::25Y::NORMAL.MID,10Y,25Y,68.64999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::3Y::NORMAL.MID,10Y,3Y,88.43
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::10Y::4Y::NORMAL.MID,10Y,4Y,86.78
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::15Y::NORMAL.MID,6Y,15Y,85.3
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::8Y::10Y::NORMAL.MID,8Y,10Y,84.05
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::15Y::NORMAL.MID,4Y,15Y,91.85000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::1Y::NORMAL.MID,5Y,1Y,101.61
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::4Y::NORMAL.MID,5Y,4Y,97.83999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::2M::6Y::NORMAL.MID,2M,6Y,95.34
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::2Y::6Y::NORMAL.MID,2Y,6Y,104.41000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9Y::3Y::NORMAL.MID,9Y,3Y,90.31
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::8Y::5Y::NORMAL.MID,8Y,5Y,89.33999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9M::3Y::NORMAL.MID,9M,3Y,104.30999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9Y::30Y::NORMAL.MID,9Y,30Y,69.22
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::8Y::20Y::NORMAL.MID,8Y,20Y,75.6
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::8Y::NORMAL.MID,4Y,8Y,98.11999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::20Y::NORMAL.MID,5Y,20Y,84.85
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6M::6Y::NORMAL.MID,6M,6Y,104.44999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::10Y::NORMAL.MID,6Y,10Y,90.48
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9M::15Y::NORMAL.MID,9M,15Y,101.66
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9M::20Y::NORMAL.MID,9M,20Y,98.74000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9Y::4Y::NORMAL.MID,9Y,4Y,89.06
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::30Y::10Y::NORMAL.MID,30Y,10Y,53.97
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::30Y::15Y::NORMAL.MID,30Y,15Y,48.82
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::30Y::2Y::NORMAL.MID,30Y,2Y,69.19
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9M::2Y::NORMAL.MID,9M,2Y,103.56
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9Y::1Y::NORMAL.MID,9Y,1Y,92.75
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::7Y::30Y::NORMAL.MID,7Y,30Y,74.48
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::7Y::4Y::NORMAL.MID,7Y,4Y,92.89999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::25Y::NORMAL.MID,6Y,25Y,79.3
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::2Y::NORMAL.MID,6Y,2Y,98.93
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::3Y::NORMAL.MID,6Y,3Y,97.24
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::1Y::3Y::NORMAL.MID,1Y,3Y,105.12
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::20Y::1Y::NORMAL.MID,20Y,1Y,77.31
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::25Y::10Y::NORMAL.MID,25Y,10Y,58.16
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6Y::6Y::NORMAL.MID,6Y,6Y,93.29
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::7Y::5Y::NORMAL.MID,7Y,5Y,91.76
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::1Y::7Y::NORMAL.MID,1Y,7Y,105.55999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::1Y::8Y::NORMAL.MID,1Y,8Y,105.62
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::1Y::9Y::NORMAL.MID,1Y,9Y,105.67999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::8Y::6Y::NORMAL.MID,8Y,6Y,88.09
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9M::30Y::NORMAL.MID,9M,30Y,95.61
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9Y::6Y::NORMAL.MID,9Y,6Y,86.09
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::2Y::15Y::NORMAL.MID,2Y,15Y,98.45
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::30Y::6Y::NORMAL.MID,30Y,6Y,60.14
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::9Y::8Y::NORMAL.MID,9Y,8Y,83.63000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::20Y::NORMAL.MID,4Y,20Y,88.28
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::6Y::NORMAL.MID,4Y,6Y,99.41999999999999
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6M::1Y::NORMAL.MID,6M,1Y,85.58
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::6M::5Y::NORMAL.MID,6M,5Y,104.46000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::3M::5Y::NORMAL.MID,3M,5Y,99.97000000000001
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::3Y::9Y::NORMAL.MID,3Y,9Y,100.46
20231101,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::15Y::30Y::NORMAL.MID,15Y,30Y,57.62
